,,,,,,,,Carrocería,,,,,,,,,,,,,,,,,,,Motor,,,,,,,,,,,,,,Transmisión y control,,,,Prestaciones y consumos homologados,,,,,,,,,Suspensión y frenos,,,,
195426,Audi,A4,B8/8K,2007,2011,Allroad quattro Berlina 5-puertas,2.0 TFSI S tronic quattro (211 CV),Berlina,5,4721,1841,1495,2805,1583,1574,,668,,,1670,172,1430,490,550,2220,4120,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Robot,tracción en las cuatro ruedas,"11,5",7,95,230,"10,4","8,3","6,9",de 630 à 930,EURO V,65,7,Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
195427,Audi,A4,B8/8K,2007,2011,Allroad quattro Berlina 5-puertas,3.0 TDI MT quattro (240 CV),Berlina,5,4721,1841,1495,2805,1583,1574,,,,,1805,172,1430,490,495,2300,,Diesel,2967,240,de 4 000 à 4 400,500,La inyección directa,V-twin,6,Turbo,83,"91,4",4,de 1 500 à 3 000,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,237,"9,6","7,2","6,6",de 680 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
195428,Audi,A4,B8/8K,2007,2011,Allroad quattro Berlina 5-puertas,3.0 TDI S tronic quattro (240 CV),Berlina,5,4721,1841,1495,2805,1583,1574,,,,,1840,172,1430,490,495,2335,,Diesel,2967,240,de 4 000 à 4 400,500,La inyección directa,V-twin,6,Turbo,83,"91,4",4,de 1 500 à 3 000,hay,Robot,tracción en las cuatro ruedas,"11,5",7,Diesel,236,"8,7","7,1","6,4",de 750 à 1 070,EURO V,65,"6,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26900,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,1.8 TFSI MT (120 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1410,135,1430,490,550,1960,,Gasolina,1798,120,de 3 650 à 6 200,230,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 3 650,hay,Mecánica,Frente,"11,5",6,95,200,"9,6","7,2","10,8",de 680 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26902,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,1.8 TFSI MT (160 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1470,135,1430,490,570,2040,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,Mecánica,Frente,"11,5",6,95,218,"9,7","7,2","8,9",de 670 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26901,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,1.8 TFSI MT quattro (160 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1560,135,1430,490,560,2120,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,219,"10,3","7,7","8,9",de 630 à 1 050,EURO V,65,"6,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50361,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,1.8 TFSI multitronic (120 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1455,135,1430,490,550,2005,,Gasolina,1798,120,de 3 650 à 6 200,230,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 3 650,hay,CVT,Frente,"11,5",,95,191,"9,6","7,5","10,8",de 680 à 1 030,EURO V,65,"6,3",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26899,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,1.8 TFSI multitronic (160 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1510,135,1430,490,570,2080,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,CVT,Frente,"11,5",,95,210,"9,6","7,5","8,9",de 680 à 1 030,EURO V,65,"6,3",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50364,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT (120 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1525,135,1430,490,570,2095,,Diesel,1968,120,à 4 200,290,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,197,"6,8","5,3","11,2",de 960 à 1 440,EURO V,65,"4,5",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26911,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT (136 CV),Berlina,5,4703,1826,1416,2811,1568,1555,,611,,,1610,115,1430,490,495,2105,3605,Diesel,1968,136,à 4 200,320,La inyección directa,Inline,4,Turbo,,,4,de 1 750 à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,208,"5,4","4,6","9,8",de 1 200 à 1 590,EURO V,65,"4,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50365,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT (143 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1520,135,1430,490,570,2090,,Diesel,1968,143,à 4 200,320,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,208,"7,4","5,7","9,7",de 880 à 1 380,EURO V,65,"4,7",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
189775,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT (170 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1520,135,1430,490,570,2090,,Diesel,1968,170,à 4 200,350,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,222,"7,2","5,6","8,6",de 900 à 1 380,EURO V,65,"4,7",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26908,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT quattro (143 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1675,135,1430,490,495,2170,,Diesel,1968,143,à 4 200,320,Common Rail,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,207,"6,9","5,7","9,6",de 940 à 1 300,EURO V,65,5,Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
189776,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI MT quattro (170 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1595,135,1430,490,570,2165,,Diesel,1968,170,à 4 200,350,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,220,"6,9","5,7","8,6",de 940 à 1 300,EURO V,65,5,Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
189777,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TDI multitronic (143 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1555,135,1430,490,570,2125,,Diesel,1968,143,à 4 200,320,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,CVT,Frente,"11,5",,Diesel,200,"7,5","5,9","9,7",de 870 à 1 300,EURO V,65,5,Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26912,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI flexible fuel MT (180 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1490,135,1430,490,570,2060,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,Frente,"11,5",6,"95, Etanol",228,"8,4","6,6","8,1",de 770 à 1 160,EURO V,65,"5,6",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26913,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI flexible fuel MT quattro (180 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1650,135,1430,490,495,2145,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,"95, Etanol",224,"9,9","7,5","7,9",de 660 à 1 070,EURO V,65,"6,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26905,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI MT (180 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1490,135,1430,490,570,2060,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,Frente,"11,5",6,95,228,9,"6,6","7,9",de 720 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26906,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI MT (211 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1495,135,1430,490,570,2065,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Mecánica,Frente,"11,5",6,95,242,9,"6,6","7,1",de 720 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26907,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI MT quattro (211 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1565,135,1430,490,560,2135,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,238,10,"7,4","6,7",de 650 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50362,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI multitronic (180 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1525,135,1430,490,570,2095,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,CVT,Frente,"11,5",,95,218,"9,8","7,3","8,6",de 660 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50363,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI multitronic (211 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1530,135,1430,490,570,2100,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,CVT,Frente,"11,5",,95,232,"9,8","7,3","7,4",de 660 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
62801,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.0 TFSI S tronic quattro (211 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1605,135,1430,490,570,2175,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Robot,tracción en las cuatro ruedas,"11,5",7,95,237,"9,4","7,6","6,6",de 690 à 1 000,EURO V,65,"6,5",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50367,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.7 TDI MT (190 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1670,135,1430,490,570,2190,,Diesel,2698,190,de 3 500 à 4 400,400,Common Rail,V-twin,6,Turbo,83,"83,1",4,de 1 400 à 3 250,hay,Mecánica,Frente,"11,5",6,Diesel,230,"8,1","6,2","8,2",de 800 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50366,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,2.7 TDI multitronic (190 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,631,,,,135,1430,490,,,4115,Diesel,2698,190,de 3 500 à 4 400,400,Common Rail,V-twin,6,Turbo,83,"83,1",4,de 1 400 à 3 250,hay,CVT,Frente,"11,5",,Diesel,226,"8,1","6,6","7,9",de 800 à 1 140,EURO V,65,"5,7",Discos ventilados,Discos,"Independiente, multi-link, la primavera, Barra estabilizadora","Independiente, La palanca trapezoidal",
189778,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.0 TDI clean diesel tiptronic quattro (240 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,,135,1430,490,,,,Diesel,2967,240,de 4 000 à 4 400,500,La inyección directa,V-twin,6,Turbo,83,"91,4",4,de 1 500 à 3 000,hay,Expendedora,tracción en las cuatro ruedas,"11,5",6,Diesel,250,"8,8","6,9","6,3",de 740 à 1 120,EURO VI,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50368,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.0 TDI MT quattro (240 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1655,135,1430,490,550,2205,,Diesel,2967,240,de 4 000 à 4 400,500,La inyección directa,V-twin,6,Turbo,83,"91,4",4,de 1 500 à 3 000,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,250,"8,8","6,8","6,3",de 740 à 1 180,EURO V,65,"5,5",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
189779,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.0 TDI S tronic quattro (240 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1690,135,1430,490,550,2205,,Diesel,2967,240,de 4 000 à 4 400,500,La inyección directa,V-twin,6,Turbo,83,"91,4",4,de 1 500 à 3 000,hay,Robot,tracción en las cuatro ruedas,"11,5",7,Diesel,250,"8,5","6,8","6,3",de 760 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26922,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.2 FSI MT quattro (265 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1630,135,1430,490,570,2200,,Gasolina,3197,265,à 6 500,330,La inyección directa,V-twin,6,,"85,5","92,8",4,de 3 000 à 5 000,,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,250,"13,6","9,4","6,4",de 480 à 940,EURO V,65,"6,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50369,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.2 FSI multitronic (265 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1590,135,1430,490,570,2160,,Gasolina,3197,265,à 6 500,330,La inyección directa,V-twin,6,,"85,5","92,8",4,de 3 000 à 5 000,,CVT,Frente,"11,5",,95,250,"11,6","8,4","6,6",de 560 à 1 000,EURO V,65,"6,5",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26921,Audi,A4,B8/8K,2007,2011,Berlina 5-puertas,3.2 FSI tiptronic quattro (265 CV),Berlina,5,4703,1826,1436,2808,1564,1551,,,,,1660,135,1430,490,570,2230,,Gasolina,3197,265,à 6 500,330,La inyección directa,V-twin,6,,"85,5","92,8",4,de 3 000 à 5 000,,Expendedora,tracción en las cuatro ruedas,"11,5",6,95,250,"13,2","9,4","6,6",de 490 à 920,EURO V,65,"7,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50371,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,1.8 TFSI MT (120 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1410,135,962,480,550,1960,,Gasolina,1798,120,de 3 650 à 6 200,230,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 3 650,hay,Mecánica,Frente,"11,5",6,95,208,"9,5","7,1","10,5",de 680 à 1 160,EURO V,65,"5,6",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26927,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,1.8 TFSI MT (160 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1410,135,962,480,550,1960,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,Mecánica,Frente,"11,5",6,95,225,"9,5","7,1","8,6",de 680 à 1 180,EURO V,65,"5,5",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26926,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,1.8 TFSI MT quattro (160 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1500,135,962,480,550,2050,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,225,"10,3","7,6","8,6",de 630 à 1 070,EURO V,65,"6,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26923,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,1.8 TFSI multitronic (120 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1455,135,962,480,550,2005,,Gasolina,1798,120,de 3 650 à 6 200,230,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 3 650,hay,CVT,Frente,"11,5",,95,200,"9,4","7,2","10,5",de 690 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50370,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,1.8 TFSI multitronic (160 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1450,135,962,480,550,2000,,Gasolina,1798,160,de 4 500 à 6 200,250,La inyección directa,Inline,4,Turbo,"82,5","84,1",4,de 1 500 à 4 500,hay,CVT,Frente,"11,5",,95,218,"9,9","7,2","8,6",de 660 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50377,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT (120 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1465,135,962,480,550,2015,,Diesel,1968,120,à 4 200,290,La inyección directa,Inline,4,Turbo,81,"95,5",4,à 1 750,hay,Mecánica,Frente,"11,5",6,Diesel,205,"6,7","5,1","10,7",de 970 à 1 590,EURO V,65,"4,1",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26939,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT (136 CV),Sedán,5,4703,1826,1407,2808,1568,1555,,,,,1550,115,962,480,,2025,,Diesel,1968,136,à 4 200,320,La inyección directa,Inline,4,Turbo,,,4,à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,215,"5,2","4,4","9,5",de 1 250 à 1 670,EURO V,65,"3,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26940,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT (143 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1460,135,962,480,550,2010,,Diesel,1968,143,à 4 200,320,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,Frente,"11,5",6,Diesel,215,"7,5","5,5","9,4",de 870 à 1 510,EURO V,65,"4,3",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50376,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT (170 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1460,135,962,480,550,2010,,Diesel,1968,170,à 4 200,350,La inyección directa,Inline,4,Turbo,81,"95,5",4,à 1 750,hay,Mecánica,Frente,"11,5",6,Diesel,230,7,"5,3","8,3",de 930 à 1 480,EURO V,65,"4,4",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26936,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT quattro (143 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1500,135,962,480,550,2050,,Diesel,1968,143,à 4 200,320,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,215,"6,9","5,5","9,3",de 940 à 1 380,EURO V,65,"4,7",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50375,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI MT quattro (170 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1555,135,962,480,550,2105,,Diesel,1968,170,à 4 200,350,La inyección directa,Inline,4,Turbo,,,4,à 1 750,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,Diesel,228,"7,7","5,9","8,3",de 840 à 1 330,EURO V,65,"4,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
189780,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TDI multitronic (143 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1495,135,962,480,550,2045,,Diesel,1968,143,à 4 200,320,La inyección directa,Inline,4,Turbo,81,"95,5",4,de 1 750 à 2 500,hay,CVT,Frente,"11,5",,Diesel,210,"7,3","5,7","9,4",de 890 à 1 380,EURO V,65,"4,7",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50379,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI flexible fuel MT (180 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1430,135,962,480,550,1980,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,Frente,"11,5",6,"95, Etanol",236,"8,3","6,4","7,9",de 780 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50378,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI flexible fuel MT quattro (180 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1530,135,962,480,550,2080,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,"95, Etanol",232,"9,8","7,3","7,7",de 660 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26931,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI MT (180 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1430,135,962,480,550,1980,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,Frente,"11,5",6,95,236,"8,3","6,4","7,9",de 780 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
26932,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI MT (211 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1435,135,962,480,550,1985,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Mecánica,Frente,"11,5",6,95,250,9,"6,6","6,9",de 720 à 1 250,EURO V,65,"5,2",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
220168,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI MT quattro (180 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1530,135,962,480,550,2080,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,232,"9,8","7,3","7,7",de 660 à 1 120,EURO V,65,"5,8",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50374,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI MT quattro (211 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1520,135,962,480,550,2070,,Gasolina,1984,211,de 4 300 à 6 000,350,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 4 200,hay,Mecánica,tracción en las cuatro ruedas,"11,5",6,95,240,10,"7,4","6,6",de 650 à 1 100,EURO V,65,"5,9",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
50372,Audi,A4,B8/8K,2007,2011,Sedan 4-puertas,2.0 TFSI multitronic (180 CV),Sedán,5,4703,1826,1427,2808,1564,1551,,,,,1465,135,962,480,550,2015,,Gasolina,1984,180,de 4 000 à 6 000,320,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 500 à 3 900,hay,CVT,Frente,"11,5",,95,226,"9,4","7,1","8,2",de 690 à 1 140,EURO V,65,"5,7",Discos ventilados,Discos,"Independiente, multi-link, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
